Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Connecticut,04/12/2021,"37,400","37,400"
Maine,04/12/2021,"14,300","14,300"
Massachusetts,04/12/2021,"72,100","72,100"
New Hampshire,04/12/2021,"14,300","14,300"
Rhode Island,04/12/2021,"11,300","11,300"
Vermont,04/12/2021,"6,700","6,700"
New Jersey,04/12/2021,"91,300","91,300"
New York,04/12/2021,"116,300","116,300"
New York City,04/12/2021,"88,300","88,300"
Puerto Rico,04/12/2021,"35,700","35,700"
U.S. Virgin Islands,04/12/2021,"1,100","1,100"
Delaware,04/12/2021,"9,900","9,900"
District of Columbia,04/12/2021,"7,500","7,500"
Maryland,04/12/2021,"61,600","61,600"
Pennsylvania,04/12/2021,"117,500","117,500"
Philadelphia,04/12/2021,"16,300","16,300"
Virginia,04/12/2021,"86,500","86,500"
West Virginia,04/12/2021,"19,300","19,300"
Alabama,04/12/2021,"49,800","49,800"
Florida,04/12/2021,"217,400","217,400"
Georgia,04/12/2021,"103,000","103,000"
Kentucky,04/12/2021,"45,300","45,300"
Mississippi,04/12/2021,"30,000","30,000"
North Carolina,04/12/2021,"103,900","103,900"
South Carolina,04/12/2021,"51,000","51,000"
Tennessee,04/12/2021,"68,100","68,100"
Chicago,04/12/2021,"27,700","27,700"
Illinois,04/12/2021,"103,100","103,100"
Indiana,04/12/2021,"66,900","66,900"
Michigan,04/12/2021,"102,600","102,600"
Minnesota,04/12/2021,"56,200","56,200"
Ohio,04/12/2021,"119,300","119,300"
Wisconsin,04/12/2021,"59,700","59,700"
Arkansas,04/12/2021,"30,200","30,200"
Louisiana,04/12/2021,"47,000","47,000"
New Mexico,04/12/2021,"21,400","21,400"
Oklahoma,04/12/2021,"39,200","39,200"
Texas,04/12/2021,"272,100","272,100"
Iowa,04/12/2021,"31,800","31,800"
Kansas,04/12/2021,"29,000","29,000"
Missouri,04/12/2021,"62,200","62,200"
Nebraska,04/12/2021,"19,200","19,200"
Colorado,04/12/2021,"56,500","56,500"
Montana,04/12/2021,"10,800","10,800"
North Dakota,04/12/2021,"7,800","7,800"
South Dakota,04/12/2021,"8,700","8,700"
Utah,04/12/2021,"28,300","28,300"
Wyoming,04/12/2021,"5,900","5,900"
Arizona,04/12/2021,"70,600","70,600"
California,04/12/2021,"397,400","397,400"
Hawaii,04/12/2021,"14,800","14,800"
Nevada,04/12/2021,"29,800","29,800"
American Samoa,04/12/2021,0,0
Guam,04/12/2021,0,0
Marshall Islands,04/12/2021,0,0
Micronesia,04/12/2021,0,0
Mariana Islands,04/12/2021,0,0
Palau,04/12/2021,0,0
Alaska,04/12/2021,0,0
Idaho,04/12/2021,"16,600","16,600"
Oregon,04/12/2021,"42,700","42,700"
Washington,04/12/2021,"75,700","75,700"
Federal Entities,04/12/2021,"149,400","149,400"
Connecticut,04/05/2021,"37,400","37,400"
Maine,04/05/2021,"14,300","14,300"
Massachusetts,04/05/2021,"72,100","72,100"
New Hampshire,04/05/2021,"14,300","14,300"
Rhode Island,04/05/2021,"11,300","11,300"
Vermont,04/05/2021,"6,700","6,700"
New Jersey,04/05/2021,"91,300","91,300"
New York,04/05/2021,"116,300","116,300"
New York City,04/05/2021,"88,300","88,300"
Puerto Rico,04/05/2021,"35,700","35,700"
U.S. Virgin Islands,04/05/2021,"1,100","1,100"
Delaware,04/05/2021,"9,900","9,900"
District of Columbia,04/05/2021,"7,500","7,500"
Maryland,04/05/2021,"61,600","61,600"
Pennsylvania,04/05/2021,"117,500","117,500"
Philadelphia,04/05/2021,"16,300","16,300"
Virginia,04/05/2021,"86,500","86,500"
West Virginia,04/05/2021,"19,300","19,300"
Alabama,04/05/2021,"49,800","49,800"
Florida,04/05/2021,"217,400","217,400"
Georgia,04/05/2021,"103,000","103,000"
Kentucky,04/05/2021,"45,300","45,300"
Mississippi,04/05/2021,"30,000","30,000"
North Carolina,04/05/2021,"103,900","103,900"
South Carolina,04/05/2021,"51,000","51,000"
Tennessee,04/05/2021,"68,100","68,100"
Chicago,04/05/2021,"27,700","27,700"
Illinois,04/05/2021,"103,100","103,100"
Indiana,04/05/2021,"66,900","66,900"
Michigan,04/05/2021,"102,600","102,600"
Minnesota,04/05/2021,"56,200","56,200"
Ohio,04/05/2021,"119,300","119,300"
Wisconsin,04/05/2021,"59,700","59,700"
Arkansas,04/05/2021,"30,200","30,200"
Louisiana,04/05/2021,"47,000","47,000"
New Mexico,04/05/2021,"21,400","21,400"
Oklahoma,04/05/2021,"39,200","39,200"
Texas,04/05/2021,"272,100","272,100"
Iowa,04/05/2021,"31,800","31,800"
Kansas,04/05/2021,"29,000","29,000"
Missouri,04/05/2021,"62,200","62,200"
Nebraska,04/05/2021,"19,200","19,200"
Colorado,04/05/2021,"56,500","56,500"
Montana,04/05/2021,"10,800","10,800"
North Dakota,04/05/2021,"7,800","7,800"
South Dakota,04/05/2021,"8,700","8,700"
Utah,04/05/2021,"28,300","28,300"
Wyoming,04/05/2021,"5,900","5,900"
Arizona,04/05/2021,"70,600","70,600"
California,04/05/2021,"397,400","397,400"
Hawaii,04/05/2021,"14,800","14,800"
Nevada,04/05/2021,"29,800","29,800"
American Samoa,04/05/2021,0,0
Guam,04/05/2021,0,0
Marshall Islands,04/05/2021,0,0
Micronesia,04/05/2021,0,0
Mariana Islands,04/05/2021,0,0
Palau,04/05/2021,0,0
Alaska,04/05/2021,0,0
Idaho,04/05/2021,"16,600","16,600"
Oregon,04/05/2021,"42,700","42,700"
Washington,04/05/2021,"75,700","75,700"
Federal Entities,04/05/2021,"143,000","143,000"
Connecticut,03/29/2021,"35,800","35,800"
Maine,03/29/2021,"13,700","13,700"
Massachusetts,03/29/2021,"69,000","69,000"
New Hampshire,03/29/2021,"13,700","13,700"
Rhode Island,03/29/2021,"10,800","10,800"
Vermont,03/29/2021,"6,500","6,500"
New Jersey,03/29/2021,"87,400","87,400"
New York,03/29/2021,"111,300","111,300"
New York City,03/29/2021,"84,500","84,500"
Puerto Rico,03/29/2021,"34,200","34,200"
U.S. Virgin Islands,03/29/2021,"1,100","1,100"
Delaware,03/29/2021,"9,500","9,500"
District of Columbia,03/29/2021,"7,200","7,200"
Maryland,03/29/2021,"59,000","59,000"
Pennsylvania,03/29/2021,"112,400","112,400"
Philadelphia,03/29/2021,"15,600","15,600"
Virginia,03/29/2021,"82,800","82,800"
West Virginia,03/29/2021,"18,500","18,500"
Alabama,03/29/2021,"47,700","47,700"
Florida,03/29/2021,"208,000","208,000"
Georgia,03/29/2021,"98,600","98,600"
Kentucky,03/29/2021,"43,400","43,400"
Mississippi,03/29/2021,"28,700","28,700"
North Carolina,03/29/2021,"99,500","99,500"
South Carolina,03/29/2021,"48,800","48,800"
Tennessee,03/29/2021,"65,200","65,200"
Chicago,03/29/2021,"26,500","26,500"
Illinois,03/29/2021,"98,700","98,700"
Indiana,03/29/2021,"64,100","64,100"
Michigan,03/29/2021,"98,200","98,200"
Minnesota,03/29/2021,"53,800","53,800"
Ohio,03/29/2021,"114,100","114,100"
Wisconsin,03/29/2021,"57,100","57,100"
Arkansas,03/29/2021,"28,900","28,900"
Louisiana,03/29/2021,"45,000","45,000"
New Mexico,03/29/2021,"20,500","20,500"
Oklahoma,03/29/2021,"37,500","37,500"
Texas,03/29/2021,"260,400","260,400"
Iowa,03/29/2021,"30,400","30,400"
Kansas,03/29/2021,"27,800","27,800"
Missouri,03/29/2021,"59,500","59,500"
Nebraska,03/29/2021,"18,400","18,400"
Colorado,03/29/2021,"54,100","54,100"
Montana,03/29/2021,"10,400","10,400"
North Dakota,03/29/2021,"7,500","7,500"
South Dakota,03/29/2021,"8,300","8,300"
Utah,03/29/2021,"27,100","27,100"
Wyoming,03/29/2021,"5,700","5,700"
Arizona,03/29/2021,"67,600","67,600"
California,03/29/2021,"380,300","380,300"
Hawaii,03/29/2021,"14,200","14,200"
Nevada,03/29/2021,"28,500","28,500"
American Samoa,03/29/2021,"5,000",0
Guam,03/29/2021,"15,000",0
Marshall Islands,03/29/2021,"16,800",0
Micronesia,03/29/2021,"22,600",0
Mariana Islands,03/29/2021,"5,000",0
Palau,03/29/2021,"6,200",0
Alaska,03/29/2021,"52,500","52,500"
Idaho,03/29/2021,"15,800","15,800"
Oregon,03/29/2021,"40,800","40,800"
Washington,03/29/2021,"72,400","72,400"
Federal Entities,03/29/2021,"143,000","143,000"
Connecticut,03/22/2021,"35,800","35,800"
Maine,03/22/2021,"13,700","13,700"
Massachusetts,03/22/2021,"69,000","69,000"
New Hampshire,03/22/2021,"13,700","13,700"
Rhode Island,03/22/2021,"10,800","10,800"
Vermont,03/22/2021,"6,500","6,500"
New Jersey,03/22/2021,"87,400","87,400"
New York,03/22/2021,"111,300","111,300"
New York City,03/22/2021,"84,500","84,500"
Puerto Rico,03/22/2021,"34,200","34,200"
U.S. Virgin Islands,03/22/2021,"1,100","1,100"
Delaware,03/22/2021,"9,500","9,500"
District of Columbia,03/22/2021,"7,200","7,200"
Maryland,03/22/2021,"59,000","59,000"
Pennsylvania,03/22/2021,"112,400","112,400"
Philadelphia,03/22/2021,"15,600","15,600"
Virginia,03/22/2021,"82,800","82,800"
West Virginia,03/22/2021,"18,500","18,500"
Alabama,03/22/2021,"47,700","47,700"
Florida,03/22/2021,"208,000","208,000"
Georgia,03/22/2021,"98,600","98,600"
Kentucky,03/22/2021,"43,400","43,400"
Mississippi,03/22/2021,"28,700","28,700"
North Carolina,03/22/2021,"99,500","99,500"
South Carolina,03/22/2021,"48,800","48,800"
Tennessee,03/22/2021,"65,200","65,200"
Chicago,03/22/2021,"26,500","26,500"
Illinois,03/22/2021,"98,700","98,700"
Indiana,03/22/2021,"64,100","64,100"
Michigan,03/22/2021,"98,200","98,200"
Minnesota,03/22/2021,"53,800","53,800"
Ohio,03/22/2021,"114,100","114,100"
Wisconsin,03/22/2021,"57,100","57,100"
Arkansas,03/22/2021,"28,900","28,900"
Louisiana,03/22/2021,"45,000","45,000"
New Mexico,03/22/2021,"20,500","20,500"
Oklahoma,03/22/2021,"37,500","37,500"
Texas,03/22/2021,"260,400","260,400"
Iowa,03/22/2021,"30,400","30,400"
Kansas,03/22/2021,"27,800","27,800"
Missouri,03/22/2021,"59,500","59,500"
Nebraska,03/22/2021,"18,400","18,400"
Colorado,03/22/2021,"54,100","54,100"
Montana,03/22/2021,"10,400","10,400"
North Dakota,03/22/2021,"7,500","7,500"
South Dakota,03/22/2021,"8,300","8,300"
Utah,03/22/2021,"27,100","27,100"
Wyoming,03/22/2021,"5,700","5,700"
Arizona,03/22/2021,"67,600","67,600"
California,03/22/2021,"380,300","380,300"
Hawaii,03/22/2021,"14,200","14,200"
Nevada,03/22/2021,"28,500","28,500"
American Samoa,03/22/2021,0,0
Guam,03/22/2021,0,0
Marshall Islands,03/22/2021,0,0
Micronesia,03/22/2021,0,0
Mariana Islands,03/22/2021,0,0
Palau,03/22/2021,0,0
Alaska,03/22/2021,0,0
Idaho,03/22/2021,"15,800","15,800"
Oregon,03/22/2021,"40,800","40,800"
Washington,03/22/2021,"72,400","72,400"
Federal Entities,03/22/2021,"143,000","143,000"
Connecticut,03/15/2021,"35,800","35,800"
Maine,03/15/2021,"13,700","13,700"
Massachusetts,03/15/2021,"69,000","69,000"
New Hampshire,03/15/2021,"13,700","13,700"
Rhode Island,03/15/2021,"10,800","10,800"
Vermont,03/15/2021,"6,500","6,500"
New Jersey,03/15/2021,"87,400","87,400"
New York,03/15/2021,"111,300","111,300"
New York City,03/15/2021,"84,500","84,500"
Puerto Rico,03/15/2021,"34,200","34,200"
U.S. Virgin Islands,03/15/2021,"1,100","1,100"
Delaware,03/15/2021,"9,500","9,500"
District of Columbia,03/15/2021,"7,200","7,200"
Maryland,03/15/2021,"59,000","59,000"
Pennsylvania,03/15/2021,"112,400","112,400"
Philadelphia,03/15/2021,"15,600","15,600"
Virginia,03/15/2021,"82,800","82,800"
West Virginia,03/15/2021,"18,500","18,500"
Alabama,03/15/2021,"47,700","47,700"
Florida,03/15/2021,"208,000","208,000"
Georgia,03/15/2021,"98,600","98,600"
Kentucky,03/15/2021,"43,400","43,400"
Mississippi,03/15/2021,"28,700","28,700"
North Carolina,03/15/2021,"99,500","99,500"
South Carolina,03/15/2021,"48,800","48,800"
Tennessee,03/15/2021,"65,200","65,200"
Chicago,03/15/2021,"26,500","26,500"
Illinois,03/15/2021,"98,700","98,700"
Indiana,03/15/2021,"64,100","64,100"
Michigan,03/15/2021,"98,200","98,200"
Minnesota,03/15/2021,"53,800","53,800"
Ohio,03/15/2021,"114,100","114,100"
Wisconsin,03/15/2021,"57,100","57,100"
Arkansas,03/15/2021,"28,900","28,900"
Louisiana,03/15/2021,"45,000","45,000"
New Mexico,03/15/2021,"20,500","20,500"
Oklahoma,03/15/2021,"37,500","37,500"
Texas,03/15/2021,"260,400","260,400"
Iowa,03/15/2021,"30,400","30,400"
Kansas,03/15/2021,"27,800","27,800"
Missouri,03/15/2021,"59,500","59,500"
Nebraska,03/15/2021,"18,400","18,400"
Colorado,03/15/2021,"54,100","54,100"
Montana,03/15/2021,"10,400","10,400"
North Dakota,03/15/2021,"7,500","7,500"
South Dakota,03/15/2021,"8,300","8,300"
Utah,03/15/2021,"27,100","27,100"
Wyoming,03/15/2021,"5,700","5,700"
Arizona,03/15/2021,"67,600","67,600"
California,03/15/2021,"380,300","380,300"
Hawaii,03/15/2021,"14,200","14,200"
Nevada,03/15/2021,"28,500","28,500"
American Samoa,03/15/2021,0,0
Guam,03/15/2021,0,0
Marshall Islands,03/15/2021,0,0
Micronesia,03/15/2021,0,0
Mariana Islands,03/15/2021,0,0
Palau,03/15/2021,0,0
Alaska,03/15/2021,0,0
Idaho,03/15/2021,"15,800","15,800"
Oregon,03/15/2021,"40,800","40,800"
Washington,03/15/2021,"72,400","72,400"
Federal Entities,03/15/2021,"143,000","143,000"
Connecticut,03/08/2021,"35,800","35,800"
Maine,03/08/2021,"13,700","13,700"
Massachusetts,03/08/2021,"69,000","69,000"
New Hampshire,03/08/2021,"13,700","13,700"
Rhode Island,03/08/2021,"10,800","10,800"
Vermont,03/08/2021,"6,500","6,500"
New Jersey,03/08/2021,"87,400","87,400"
New York,03/08/2021,"111,300","111,300"
New York City,03/08/2021,"84,500","84,500"
Puerto Rico,03/08/2021,"34,200","34,200"
U.S. Virgin Islands,03/08/2021,"1,100","1,100"
Delaware,03/08/2021,"9,500","9,500"
District of Columbia,03/08/2021,"7,200","7,200"
Maryland,03/08/2021,"59,000","59,000"
Pennsylvania,03/08/2021,"112,400","112,400"
Philadelphia,03/08/2021,"15,600","15,600"
Virginia,03/08/2021,"82,800","82,800"
West Virginia,03/08/2021,"18,500","18,500"
Alabama,03/08/2021,"47,700","47,700"
Florida,03/08/2021,"208,000","208,000"
Georgia,03/08/2021,"98,600","98,600"
Kentucky,03/08/2021,"43,400","43,400"
Mississippi,03/08/2021,"28,700","28,700"
North Carolina,03/08/2021,"99,500","99,500"
South Carolina,03/08/2021,"48,800","48,800"
Tennessee,03/08/2021,"65,200","65,200"
Chicago,03/08/2021,"26,500","26,500"
Illinois,03/08/2021,"98,700","98,700"
Indiana,03/08/2021,"64,100","64,100"
Michigan,03/08/2021,"98,200","98,200"
Minnesota,03/08/2021,"53,800","53,800"
Ohio,03/08/2021,"114,100","114,100"
Wisconsin,03/08/2021,"57,100","57,100"
Arkansas,03/08/2021,"28,900","28,900"
Louisiana,03/08/2021,"45,000","45,000"
New Mexico,03/08/2021,"20,500","20,500"
Oklahoma,03/08/2021,"37,500","37,500"
Texas,03/08/2021,"260,400","260,400"
Iowa,03/08/2021,"30,400","30,400"
Kansas,03/08/2021,"27,800","27,800"
Missouri,03/08/2021,"59,500","59,500"
Nebraska,03/08/2021,"18,400","18,400"
Colorado,03/08/2021,"54,100","54,100"
Montana,03/08/2021,"10,400","10,400"
North Dakota,03/08/2021,"7,500","7,500"
South Dakota,03/08/2021,"8,300","8,300"
Utah,03/08/2021,"27,100","27,100"
Wyoming,03/08/2021,"5,700","5,700"
Arizona,03/08/2021,"67,600","67,600"
California,03/08/2021,"380,300","380,300"
Hawaii,03/08/2021,"14,200","14,200"
Nevada,03/08/2021,"28,500","28,500"
American Samoa,03/08/2021,0,0
Guam,03/08/2021,0,0
Marshall Islands,03/08/2021,0,0
Micronesia,03/08/2021,0,0
Mariana Islands,03/08/2021,0,0
Palau,03/08/2021,0,0
Alaska,03/08/2021,0,0
Idaho,03/08/2021,"15,800","15,800"
Oregon,03/08/2021,"40,800","40,800"
Washington,03/08/2021,"72,400","72,400"
Federal Entities,03/08/2021,"197,900","193,500"
Alabama,03/01/2021,"47,700","47,700"
Alaska,03/01/2021,"49,300","49,300"
American Samoa,03/01/2021,"4,400",0
Arizona,03/01/2021,"67,600","67,600"
Arkansas,03/01/2021,"28,900","28,900"
California,03/01/2021,"380,300","380,300"
Chicago,03/01/2021,"26,500","26,500"
Colorado,03/01/2021,"54,100","54,100"
Connecticut,03/01/2021,"35,800","35,800"
Delaware,03/01/2021,"9,500","9,500"
District of Columbia,03/01/2021,"7,200","7,200"
Federal Entities,03/01/2021,"180,500","163,500"
Florida,03/01/2021,"208,000","208,000"
Georgia,03/01/2021,"98,600","98,600"
Guam,03/01/2021,"14,200",0
Hawaii,03/01/2021,"14,200","14,200"
Idaho,03/01/2021,"15,800","15,800"
Illinois,03/01/2021,"98,700","98,700"
Indiana,03/01/2021,"64,100","64,100"
Iowa,03/01/2021,"30,400","30,400"
Kansas,03/01/2021,"27,800","27,800"
Kentucky,03/01/2021,"43,400","43,400"
Louisiana,03/01/2021,"45,000","45,000"
Maine,03/01/2021,"13,700","13,700"
Mariana Islands,03/01/2021,"4,600",0
Marshall Islands,03/01/2021,"14,000",0
Maryland,03/01/2021,"59,000","59,000"
Massachusetts,03/01/2021,"69,000","69,000"
Michigan,03/01/2021,"98,200","98,200"
Micronesia,03/01/2021,"16,600",0
Minnesota,03/01/2021,"53,800","53,800"
Mississippi,03/01/2021,"28,700","28,700"
Missouri,03/01/2021,"59,500","59,500"
Montana,03/01/2021,"10,400","10,400"
Nebraska,03/01/2021,"18,400","18,400"
Nevada,03/01/2021,"28,500","28,500"
New Hampshire,03/01/2021,"13,700","13,700"
New Jersey,03/01/2021,"87,400","87,400"
New Mexico,03/01/2021,"20,500","20,500"
New York,03/01/2021,"111,300","111,300"
New York City,03/01/2021,"84,500","84,500"
North Carolina,03/01/2021,"99,500","99,500"
North Dakota,03/01/2021,"7,500","7,500"
Ohio,03/01/2021,"114,100","114,100"
Oklahoma,03/01/2021,"37,500","37,500"
Oregon,03/01/2021,"40,800","40,800"
Palau,03/01/2021,"5,400",0
Pennsylvania,03/01/2021,"112,400","112,400"
Philadelphia,03/01/2021,"15,600","15,600"
Puerto Rico,03/01/2021,"34,200","34,200"
Rhode Island,03/01/2021,"10,800","10,800"
South Carolina,03/01/2021,"48,800","48,800"
South Dakota,03/01/2021,"8,300","8,300"
Tennessee,03/01/2021,"65,200","65,200"
Texas,03/01/2021,"260,400","260,400"
U.S. Virgin Islands,03/01/2021,"1,100","1,100"
Utah,03/01/2021,"27,100","27,100"
Vermont,03/01/2021,"6,500","6,500"
Virginia,03/01/2021,"82,800","82,800"
Washington,03/01/2021,"72,400","72,400"
West Virginia,03/01/2021,"18,500","18,500"
Wisconsin,03/01/2021,"57,100","57,100"
Wyoming,03/01/2021,"5,700","5,700"
Alabama,02/22/2021,"47,700","47,700"
Alaska,02/22/2021,0,0
American Samoa,02/22/2021,0,0
Arizona,02/22/2021,"67,600","67,600"
Arkansas,02/22/2021,"28,900","28,900"
California,02/22/2021,"380,300","380,300"
Chicago,02/22/2021,"26,500","26,500"
Colorado,02/22/2021,"54,100","54,100"
Connecticut,02/22/2021,"35,800","35,800"
Delaware,02/22/2021,"9,500","9,500"
District of Columbia,02/22/2021,"7,200","7,200"
Federal Entities,02/22/2021,"163,500","163,500"
Florida,02/22/2021,"208,000","208,000"
Georgia,02/22/2021,"98,600","98,600"
Guam,02/22/2021,0,0
Hawaii,02/22/2021,"14,200","14,200"
Idaho,02/22/2021,"15,800","15,800"
Illinois,02/22/2021,"98,700","98,700"
Indiana,02/22/2021,"64,100","64,100"
Iowa,02/22/2021,"30,400","30,400"
Kansas,02/22/2021,"27,800","27,800"
Kentucky,02/22/2021,"43,400","43,400"
Louisiana,02/22/2021,"45,000","45,000"
Maine,02/22/2021,"13,700","13,700"
Mariana Islands,02/22/2021,0,0
Marshall Islands,02/22/2021,0,0
Maryland,02/22/2021,"59,000","59,000"
Massachusetts,02/22/2021,"69,000","69,000"
Michigan,02/22/2021,"98,200","98,200"
Micronesia,02/22/2021,0,0
Minnesota,02/22/2021,"53,800","53,800"
Mississippi,02/22/2021,"28,700","28,700"
Missouri,02/22/2021,"59,500","59,500"
Montana,02/22/2021,"10,400","10,400"
Nebraska,02/22/2021,"18,400","18,400"
Nevada,02/22/2021,"28,500","28,500"
New Hampshire,02/22/2021,"13,700","13,700"
New Jersey,02/22/2021,"87,400","87,400"
New Mexico,02/22/2021,"20,500","20,500"
New York,02/22/2021,"111,300","111,300"
New York City,02/22/2021,"84,500","84,500"
North Carolina,02/22/2021,"99,500","99,500"
North Dakota,02/22/2021,"7,500","7,500"
Ohio,02/22/2021,"114,100","114,100"
Oklahoma,02/22/2021,"37,500","37,500"
Oregon,02/22/2021,"40,800","40,800"
Palau,02/22/2021,0,0
Pennsylvania,02/22/2021,"112,400","112,400"
Philadelphia,02/22/2021,"15,600","15,600"
Puerto Rico,02/22/2021,"34,200","34,200"
Rhode Island,02/22/2021,"10,800","10,800"
South Carolina,02/22/2021,"48,800","48,800"
South Dakota,02/22/2021,"8,300","8,300"
Tennessee,02/22/2021,"65,200","65,200"
Texas,02/22/2021,"260,400","260,400"
U.S. Virgin Islands,02/22/2021,"1,100","1,100"
Utah,02/22/2021,"27,100","27,100"
Vermont,02/22/2021,"6,500","6,500"
Virginia,02/22/2021,"82,800","82,800"
Washington,02/22/2021,"72,400","72,400"
West Virginia,02/22/2021,"18,500","18,500"
Wisconsin,02/22/2021,"57,100","57,100"
Wyoming,02/22/2021,"5,700","5,700"
Alabama,02/15/2021,"47,700","47,700"
Alaska,02/15/2021,0,0
American Samoa,02/15/2021,0,0
Arizona,02/15/2021,"67,600","67,600"
Arkansas,02/15/2021,"28,900","28,900"
California,02/15/2021,"380,300","380,300"
Chicago,02/15/2021,"26,500","26,500"
Colorado,02/15/2021,"54,100","54,100"
Connecticut,02/15/2021,"35,800","35,800"
Delaware,02/15/2021,"9,500","9,500"
District of Columbia,02/15/2021,"7,200","7,200"
Federal Entities,02/15/2021,"163,500","163,500"
Florida,02/15/2021,"208,000","208,000"
Georgia,02/15/2021,"98,600","98,600"
Guam,02/15/2021,0,0
Hawaii,02/15/2021,"14,200","14,200"
Idaho,02/15/2021,"15,800","15,800"
Illinois,02/15/2021,"98,700","98,700"
Indiana,02/15/2021,"64,100","64,100"
Iowa,02/15/2021,"30,400","30,400"
Kansas,02/15/2021,"27,800","27,800"
Kentucky,02/15/2021,"43,400","43,400"
Louisiana,02/15/2021,"45,000","45,000"
Maine,02/15/2021,"13,700","13,700"
Mariana Islands,02/15/2021,0,0
Marshall Islands,02/15/2021,0,0
Maryland,02/15/2021,"59,000","59,000"
Massachusetts,02/15/2021,"69,000","69,000"
Michigan,02/15/2021,"98,200","98,200"
Micronesia,02/15/2021,0,0
